ward,first,last,website,twitter,photo
21,CM,Winters-Palacio,http://cmwp2015.com,http://twitter.com/CMWP2011,images/alderpeople/21-CM-Winters-Palacio.jpeg
21,Howard,Brookins Jr.,,http://twitter.com/Ald_Brookins21,images/alderpeople/21-Howard-Brookins Jr..jpeg
21,Joseph,Ziegler,https://www.facebook.com/pages/Friends-of-Joseph-C-Ziegler-Jr/116509601739033,,
21,Marvin,McNeil,http://www.marvinmcneil.com/,,images/alderpeople/21-Marvin-McNeil.jpg
21,Jeff,Baker,http://bakerforalderman.com,,
21,Patricia,Foster,,,
22,Raul,Montes,http://www.raulmontesforchicago.com,,
22,Alex,Velazquez,http://www.alexvelazquez.com/,,
22,Neftale,Gonzalez,,,
22,Robert,Martinez,,,
23,Paulino,Villarreal,http://www.villarrealfor23.com,http://twitter.com/villarrealfor23,images/alderpeople/23-Paulino-Villarreal.jpeg
23,Martin,Arteaga,http://arteaga23.com/,http://twitter.com/marteaga,images/alderpeople/23-Martin-Arteaga.jpeg
23,Anna,Goral,http://annagoral.com,http://twitter.com/AnnaGora,images/alderpeople/23-Anna-Goral.JPG
23,Charles,Hughes,,,
24,Regina,Lewis,,http://twitter.com/reginadlewis24,images/alderpeople/24-Regina-Lewis.jpg
24,Frank,Bass,http://www.24thward.com/,http://twitter.com/frankmbass,images/alderpeople/24-Frank-Bass.jpeg
24,Michael,Scott Jr,http://citizensformichaelscottjr.com/,http://twitter.com/citizens4scott,images/alderpeople/24-Michael-Scott Jr.png
24,Vetress,Boyce,https://www.facebook.com/CandidateVetressBoyce,http://twitter.com/Boyce4Alderman,images/alderpeople/24-Vetress-Boyce.jpg
24,Roger,Washington,http://www.rogerlwashington.com/,http://twitter.com/24thward,images/alderpeople/24-Roger-Washington.jpeg
24,LaDarius,Curtis,http://24deserves.com,http://twitter.com/24deserves,images/alderpeople/24-LaDarius-Curtis.jpeg
24,Vernell,Hollis-Swanigan,,,
24,Denarvis,Mendenhall,,,
24,Sherita,Harris,,,
24,Wallace,Johnson,,,
24,Larry,Nelson,,,
24,Darren,Tillis,,,
25,Jorge,Mujica,http://www.votemujica.org/,http://twitter.com/VoteMujica,images/alderpeople/25-Jorge-Mujica.png
25,Byron,Sigcho,http://teamsigcho.org,http://twitter.com/TeamSigcho,images/alderpeople/25-Byron-Sigcho.jpeg
25,Roberto,Montano,https://www.facebook.com/mba.beto,http://twitter.com/RobertoMontano,images/alderpeople/25-Roberto-Montano.jpeg
25,Troy,Hernandez,http://troyhernandez.com,,
25,Ed,Hershey,,,images/alderpeople/25-Ed-Hershey.jpg
26,Roberto,Moldanado,http://robertomaldonado.com,http://twitter.com/MaldonadoR26,images/alderpeople/26-Roberto-Moldanado.jpeg
28,Tammie,Vinson,http://www.tammie28.org/,http://twitter.com/MissTFV,images/alderpeople/28-Tammie-Vinson.jpeg
28,Marseil,Jackson,http://friendsofmarseiljackson.com,http://twitter.com/Jackson28thWard,images/alderpeople/28-Marseil-Jackson.jpeg
28,Jasmine,Jackson,,,
28,Elliot,Thomas,,,
28,Alex,Lyons,http://lyonsfor28thward.com/,,
28,Willie,McGill,http://www.electthevisionarywilliemcgillforaldermanofthe28thward.com/,,
28,William,Siegmund,http://28thward.com,,
29,Deborah,Williams,http://www.voteforwilliams.com,http://twitter.com/Williamsfor29,images/alderpeople/29-Deborah-Williams.jpeg
29,Maurice,Robinson,http://www.robinsonfor29.squarespace.com/,http://twitter.com/robinsonfor29,images/alderpeople/29-Maurice-Robinson.png
29,Lacoulton,Walls,http://lacoultonwalls29.com,,
29,Lisa,Jackson,,,
29,Oddis,Johnson,,,
29,Stephen,Robinson,,,
30,Edgar,Esparza,http://edgarforchicago.com,http://twitter.com/ChicagoforEdgar,images/alderpeople/30-Edgar-Esparza.jpeg
30,Walter,Zarnecki,,,
31,Renne,Chavez,,,
32,Elise,Doody-Jones,,,images/alderpeople/32-Elise-Doody-Jones.jpg
33,Tyler,Solorio,http://tylersolorio.com,http://twitter.com/friendsofsol,images/alderpeople/33-Tyler-Solorio.jpeg
34,Charles,Thomas,,,
34,Henry,Moses,,,
34,Shirley,White,,,
36,Joaquin,Vazquez,http://www.vazquez4the36th.com,,
37,Leroy,Duncan,http://www.leroyduncan.com/,http://twitter.com/TeamLeroyDuncan,images/alderpeople/37-Leroy-Duncan.jpeg
37,Otis,"Percy, Jr.",http://the4gotten4otispercyjr.nationbuilder.com/,,
37,Maretta,Brown-Miller,,,
38,Tom,Caravette,http://caravette38.com,http://twitter.com/TomCaravette,images/alderpeople/38-Tom-Caravette.jpg
38,Mike,Keeney,,http://twitter.com/Keeney38,images/alderpeople/38-Mike-Keeney.jpeg
38,Heather,Sattler,http://www.heathersattler.com,http://twitter.com/heathersattler,images/alderpeople/38-Heather-Sattler.png
38,Nicholas,Sposato,http://aldermansposato.com/,http://twitter.com/AldSposato,images/alderpeople/38-Nicholas-Sposato.jpeg
38,John,Cianci,,,
38,Carmen,Hernandez,https://www.facebook.com/pages/Carmen-Hernandez-for-Alderman-38th-Ward/267019426823996,,
38,Jerry,Paszek,http://chicago38.com,,images/alderpeople/38-Jerry-Paszek.jpg
38,Belinda,Cadiz,,,
38,Michael,Duda,,,
39,Robert,Murphy,http://www.murphyfor39.org,http://twitter.com/RobertFor39,images/alderpeople/39-Robert-Murphy.jpeg
39,Joe,Laiacona,http://laiacona4ward39.com/,http://twitter.com/jlaiacona,images/alderpeople/39-Joe-Laiacona.jpg
39,Mary,Hunter,http://hunter4ward39.com,http://twitter.com/hunter4ward39,images/alderpeople/39-Mary-Hunter.jpeg
40,Dianne,Daleiden,http://www.dianne4ward40.com/,http://twitter.com/DianneDaleiden,images/alderpeople/40-Dianne-Daleiden.jpeg
41,Anthony,Napolitano,http://www.napolitano41stward.com,http://twitter.com/NapolitanoFor41,images/alderpeople/41-Anthony-Napolitano.jpeg
41,Joe,Lomanto,http://joe41.com,,images/alderpeople/41-Joe-Lomanto.jpg
43,Steve,McClellan,,http://twitter.com/mcclellan43rd,images/alderpeople/43-Steve-McClellan.jpeg
43,Jerry,Quandt,http://www.jerryquandt.com/,http://twitter.com/JerryQuandt43,images/alderpeople/43-Jerry-Quandt.jpeg
43,Jen,Kramer,http://jenkramer43.com,http://twitter.com/jenkramer43,images/alderpeople/43-Jen-Kramer.jpeg
43,Caroline,Vickrey,http://carolinefor43.com,http://twitter.com/ckvickrey,images/alderpeople/43-Caroline-Vickrey.jpeg
43,Andrew,Challenger,,http://twitter.com/AndyChallengeHR,images/alderpeople/43-Andrew-Challenger.jpeg
44,Robin,Cook,http://robincook44th.com,http://twitter.com/robinecook,images/alderpeople/44-Robin-Cook.jpeg
44,Mark,Thomas,http://wethepeople44.org/,http://twitter.com/MarkThomas44th,images/alderpeople/44-Mark-Thomas.png
44,Scott,Davis,http://scottdavis44.com/,http://twitter.com/ElectScottDavis,images/alderpeople/44-Scott-Davis.jpeg
45,Michelle,Baert,http://45thwardmom.com/,http://twitter.com/Michelle45th,images/alderpeople/45-Michelle-Baert.jpeg
45,John,Garrido,http://johngarrido.com/,http://twitter.com/JohnGarridoIII,images/alderpeople/45-John-Garrido.jpeg
45,Mike,Diaz,,,
46,Denice,Davis,http://davisforthepeople.org/,http://twitter.com/DeniceDavis46,images/alderpeople/46-Denice-Davis.jpeg
46,Amy,Crawford,https://amyfor46.wordpress.com,http://twitter.com/amyfor46,images/alderpeople/46-Amy-Crawford.jpeg
47,Rory,Fiedler,http://fiedlerforthe47.com,,
49,John,Beacham,http://johnbeacham.org/,http://twitter.com/JohnDBeacham,images/alderpeople/49-John-Beacham.jpeg
49,Don,Gordon,http://www.gordon2015.org/,http://twitter.com/DonaldGordon49,images/alderpeople/49-Don-Gordon.jpeg
49,Connie,Gates-Brown,http://cgb2015.wix.com/connie-gates-brown,http://twitter.com/CGB2015,images/alderpeople/49-Connie-Gates-Brown.jpeg
49,Grady,Humphrey,,,
49,Nathan,Myers,http://voteformyers.org,,
50,Zehra,Quadri,http://www.zehraquadri.com/,http://twitter.com/ZehraQuadri1,images/alderpeople/50-Zehra-Quadri.jpeg
50,Peter,Sifnotis,http://votesifnotis.com,http://twitter.com/Psifnotis,images/alderpeople/50-Peter-Sifnotis.jpeg
50,Hilaire Fuji,Shioura,http://50thward.com/,http://twitter.com/50thward,images/alderpeople/50-Hilaire Fuji-Shioura.png
50,Shajan,Kuriakose,http://50thwardforshajan.com,http://twitter.com/50thforshajan,images/alderpeople/50-Shajan-Kuriakose.jpeg
