UID,State,Title,Subtitle,Brief,Text,Response 1,Response 1 Blurb,Response 2,Response 2 Blurb,
BI00011,CA,Proposition 40,"A ?Yes"" vote approves, and a ?No"" vote rejects, new State Senate districts drawn by the Citizens Redistricting Commission. If rejected, districts will be adjusted by officials supervised by the California Supreme Court.","A ?Yes"" vote approves, and a ?No"" vote rejects, new State Senate districts drawn by the Citizens Redistricting Commission. If rejected, districts will be adjusted by officials supervised by the California Supreme Court.",http://vig.cdn.sos.ca.gov/2012/general/pdf/complete-vig-v2.pdf,Yes,Approves new State Senate districts drawn by the Citizens Redistricting Commission. Fiscal Impact: Approving the referendum would have no fiscal impact on the state and local governments.,No,"Rejects new State Senate districts drawn by the Citizens Redistricting Commission. If rejected, districts will be adjusted by officials supervised by the California Supreme Court. Fiscal Impact: Rejecting the referendum would result in a one-time cost of about $1 million to the state and counties.",""
BI00012,WA,Initiative Measure 1185,This measure would restate existing statutory requirements regarding tax and fee increases. ,This measure would restate existing statutory requirements regarding tax and fee increases. ,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Yes,"Restates existing statutory requirements that legislative actions raising taxes must be approved by two-thirds legislative majorities or receive voter approval, and that new or increased fees require majority legislative approval. ",No,"Does not restate existing statutory requirements that legislative actions raising taxes must be approved by two-thirds legislative majorities or receive voter approval, and that new or increased fees require majority legislative approval. ",""
BI00013,WA,Initiative Measure 1240,Would authorize up to forty publicly-funded charter schools. ,This measure would authorize up to forty publicly-funded charter schools. ,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Yes,"Authorizes up to forty publicly-funded charter schools open to all students, operated through approved, nonreligious, nonprofit organizations, with government oversight; and modify certain laws applicable to them as public schools. ",No,Does not authorize up to forty publicly-funded charter schools. ,""
BI00014,WA,Referendum Measure 74,"Would allow same-sex couples to marry, preserve domestic partnerships only for seniors, and preserve the right of clergy or religious organizations to refuse to perform, recognize, or accommodate any marriage ceremony.","This bill would allow same-sex couples to marry, preserve domestic partnerships only for seniors, and preserve the right of clergy or religious organizations to refuse to perform, recognize, or accommodate any marriage ceremony.",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Approved,"The legislature passed Engrossed Substitute Senate Bill 6239 concerning marriage for same-sex couples, modified domestic-partnership law, and religious freedom, and voters have filed a sufficient referendum petition on this bill. This bill would allow same-sex couples to marry, preserve domestic partnerships only for seniors, and preserve the right of clergy or religious organizations to refuse to perform, recognize, or accommodate any marriage ceremony.",Rejected,"Undoes Engrossed Substitute Senate Bill 6239 concerning marriage for same-sex couples, modified domestic-partnership law, and religious freedom. Under the revised law, same-sex couples will not be allowed to marry, but will retain domestic partnerships.",""
BI00015,WA,Initiative to the Legislature 502,"Liscense, regulate, and tax marijuana production, distribution, and possession for persons over twenty-one. ","This measure would license, regulate, and tax marijuana production, distribution, and possession for persons over twenty-one. ",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Yes,"Licenses and regulate marijuana production, distribution, and possession for persons over twenty-one; remove state-law criminal and civil penalties for activities that it authorizes; tax marijuana sales; and earmark marijuana-related revenues. ",No,Maintain current marijuana laws.,""
BI00016,WA,Engrossed Senate Joint Resolution 8221,"Starting July 1, 2014, phase-down the debt limit percentage in three steps from nine to eight percent and modify the calculation date, calculation period, and the term general state revenues.","This amendment would, starting July 1, 2014, phase-down the debt limit percentage in three steps from nine to eight percent and modify the calculation date, calculation period, and the term general state revenues.",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Approved,"This amendment would, starting July 1, 2014, phase-down the debt limit percentage in three steps from nine to eight percent and modify the calculation date, calculation period, and the term general state revenues.",Rejected,Maintains the current debt limit.,""
BI00017,WA,Senate Joint Resolution 8223,"Allow public universities to invest specified public funds as authorized by the legislature, including in private companies or stock. ","This amendment would allow public universities to invest specified public funds as authorized by the legislature, including in private companies or stock. ",https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Approved,"This amendment would create an exception to constitutional restrictions on investing public funds by allowing these universities to invest specified public funds as authorized by the legislature, including in private companies or stock.",Rejected,Maintains current constitutional restriction on investing public funds as applied to universities.,""
BI00018,WA,Advisory Vote 1,Supporting the return of a business and occupation tax deduction for certain financial institutionse interest on residential loans.,Supporting the return of a business and occupation tax deduction for certain financial institutionse interest on residential loans.,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Maintained,"This stance calls for maintaining the legislaturees position, which ended the tax deduction.",Repealed,"The legislature eliminated, without a vote of the people, a business and occupation tax deduction for certain financial institutionse interest on residential loans, costing $170,000,000 in its first ten years, for government spending. This stance calls for the return of the deduction.",""
BI00019,WA,Advisory Vote 2,Supporting the original timeline for expiration of a tax on possession of petroleum products. ,Supporting the original timeline for expiration of a tax on possession of petroleum products. ,https://wei.sos.wa.gov/agency/osos/en/press_and_research/PreviousElections/2012/General-Election/Pages/Online-Voters-Guide.aspx,Maintained,This stance calls for maintaining the legislaturees position of a delayed expiration of tax on possession of petroleum taxes.,Repealed,"The legislature extended, without a vote of the people, expiration of a tax on possession of petroleum products and reduced the tax rate, costing $24,000,000 in its first ten years, for government spending. This stance calls for the repeal of the slower expiration.",""
BI00020,OR,Measure 77 ,"Governor may declare ?catastrophic disaster"" (defined); requires legislative session; authorizes suspending specified constitutional spending restrictions","Amends constitution. Currently, governor has statutory, but not constitutional, authority to declare state of emergency and direct response to emergency. Measure grants Governor constitutional authority to declare and respond to natural or human-caused ?catastrophic disaster"" (defined). Authorizes Governor to redirect previously allocated General Fund and lottery monies to disaster response. Requires legislative session (under emergency conditions, if necessary) to enact implementing legislation; legislation may include temporarily suspending specified constitutional spending restrictions. Terminates Governores disaster spending authority upon enactment of law specifying purposes for which funds may be used. Limits disaster authority of Governor and legislature to 30 days unless legislature acts to shorten/ lengthen period; such legislation may include any provision legislature deems necessary to provide ?orderly transition"" (undefined) to normal conditions. Other provisions.",http://oregonvotes.org/irr/2012/401text.pdf,Yes,"Grants Governor constitutional authority to declare ?catastrophic disaster"" (defined); requires legislative session; legislature may suspend specified constitutional spending restrictions to aid response, recovery.",No,Retains Governor's statutory authority to declare state of emergency; retains constitutional spending restrictions and constitutional restrictions on legislative authority without exception for emergency.,""
BI00021,OR,Measure 78,Changes constitutional language describing governmental system of separation of powers; makes grammatical and spelling changes ,"Amends constitution. Measure makes nonsubstantive changes to wording now contained in the Oregon constitution. Current state constitutional language describes the governmental separation of powers to be divided into three separate ""departments"": Legislative, Executive (including Administrative), and Judicial. Measure revises this constitutional phrasing by changing it to refer to three separate ""branches"" of government, which conforms to more contemporary, commonly-used designations for these separate divisions of government. Measure changes the description of the two houses of the Legislature to the two ""chambers"" of the Legislature (rather than two ""branches"" of the Legislature), which also reflects more modern designations for them. Measure additionally modernizes spelling and makes grammatical changes to replace existing references to the Secretary of State as ""he,"" ""him,"" and ""his"" with gender-neutral wording.",http://oregonvotes.org/irr/2012/402text.pdf,Yes,"Changes constitutional language describing separation of powers to refer to three ?branches"" (instead of three ?departments"" of government; makes other grammatical, spelling changes.",No,"Retains existing constitutional language describing constitutional language describing separation of powers between three ?departments"" of government (rather than three ?branches"" of government); retains misspelled, other language.",""
BI00022,OR,Measure 79,"Prohibits real estate transfer taxes, fees, other assessments, except those operative on December 31, 2009 ","Amends constitution. Current statutory law prohibits a city, county, district, or other political subdivision or municipal corporation from imposing taxes or fees on the transfer of real estate (with certain exceptions). However, the state legislature has the authority, subject to Governor approval, to impose such taxes and fees or to change current statutory law. Measure prohibits the state and any city, county, district, or other political subdivision or municipal corporation from imposing taxes, fees, or other assessments based upon the transfer of any interest in real property or measured by the consideration paid or received upon the transfer of any interest in real property. Measure exempts from the prohibition any taxes, fees, or other assessments in effect and operative on December 31, 2009. Other provisions.",http://oregonvotes.org/irr/2012/005text.pdf,Yes,"Prohibits state/local governments from imposing taxes, fees, assessments on transfer of any interest in real property, except for those operative December 31, 2009.",No,"Retains existing law prohibiting local governments from imposing real estate transfer taxes/fees (with exceptions), allowing state legislature to impose such taxes/fees.",""
BI00023,OR,Measure 80,"Allows personal marijuana, hemp cultivation/use without license; commission to regulate commercial marijuana cultivation/sale","Currently, marijuana cultivation, possession and delivery are prohibited; regulated medical marijuana use permitted. Measure replaces state, local marijuana laws except medical marijuana and driving under the influence laws; distinguishes ?hemp"" from ?marijuana""; prohibits regulation of hemp. Creates commission to license marijuana cultivation by qualified persons and to purchase entire crop. Commission sells marijuana at cost to pharmacies, medical research facilities and to qualified adults for profit through state-licensed stores. Ninety percent of net proceeds goes to state general fund, remainder to drug education, treatment, hemp promotion. Bans sales to, possession by minors. Bans public consumption except where signs permit, minors barred. Commission regulates use, sets prices, other duties; Attorney General to defend against federal challenges/prosecutions. Provides penalties. Effective January 1, 2013; other provisions.",http://oregonvotes.org/irr/2012/009text.pdf,Yes,Allows commercial marijuana (cannabis) cultivation/sale to adults through state-licensed stores; allows unlicensed adult personal cultivation/use; prohibits restrictions on hemp (defined).,No,"Retains existing civil and criminal laws prohibiting cultivation, possession and delivery of marijuana; retains current statutes that permit regulated medical use of marijuana.",""
BI00024,OR,Measure 81,"Prohibits commercial non-tribal fishing with gillnets in Oregon ""inland waters,"" allows use of seine nets","Current law allows Columbia River commercial fishing with gill nets; requires annual adjustment of recreational salmon fishers' percentage share of overall catch; allows issuing of gill net permits within limit of 200; recognizes gill net licenses as valid in Columbia River in both Oregon/Washington. Measure bans non-tribal gill net fishing in Oregon ""inland waters"" (defined); permits use of ""seine nets"" (defined) instead; ensures that recreational salmon fisher's percentage of overall catch remains at 2007-2011 levels; prohibits purchase of salmon caught by gill net by non-tribal fishers in Oregon inland waters; prohibits issuing additional gill net permits; no longer recognizes validity of gill net licenses in Oregon and Washington. Measure may affect Columbia River Compact, tribal fishing rights, and fishing management agreements between federal government, tribes, and states. Other provisions.",http://oregonvotes.org/irr/2012/021text.pdf,Yes,"Changes commercial non-tribal fishing in Oregon ""inland waters"" (defined) by banning gill nets, adopting other regulatory changes; recreational salmon fishers ensured their recent share.",No,"Continues current commercial fishing practices, retains laws allowing gill nets, leaves other current regulations in place; continues annual adjustment of recreational salmon harvest share.",""
BI00025,OR,Measure 82,Amends Constitution:  Authorizes Establishment of Privately-Owned Casinos; Mandates Percentage Of Revenues Payable To Dedicated State Fund ,"Amends constitution. Currently, Oregon Constitution prohibits the operation of privately-owned, non-tribal casinos within the state. Under measure, State Lottery shall permit the operation of privately-owned casinos within the state, provided that the particular operation is approved through an initiative law. Privately-owned casinos must be located within an incorporated city, and city electors must also approve casino location. The privately-owned casino shall pay 25% of adjusted gross revenues each month to a dedicated state fund for the purposes of fostering job growth, educational achievement, vibrant local communities, protecting and improving natural environment, and supporting all federally recognized Indian tribes in Oregon. Amendment prohibits the operation of privately-owned casino within 60-mile radius of existing tribal casino operating on reservation land.",http://oregonvotes.org/irr/2012/036text.pdf,Yes,Amends state constitution to authorize privately-owned casinos; requires such casinos to give percentage of monthly revenue to State Lottery for specified purposes. ,No,"Maintains current state of the law, which does not authorize any privately-owned casino within state; tribal casinos authorized pursuant to gaming compacts.",""
BI00026,OR,Measure 83,Authorizes Privately-Owned Wood Village Casino; Mandates Percentage Of Revenues Payable To Dedicated State Fund ,"Currently, Oregon Constitution prohibits privately-owned casinos within state. Under measure, State Lottery shall issue renewable 15-year lease permitting owner of former Multnomah Kennel Club in Wood Village to operate gaming devices, table games, keno, and other games of chance at that site. Measure would become operative only if constitution is amended to permit privately-owned casinos within state.  Casino operator shall pay 25% of adjusted gross revenues monthly to State Lottery. Lottery shall deposit 20% of adjusted gross revenues into Job Growth, Education and Communities Fund (separate from general fund), and 80% in State Lottery Fund. Moneys in the Job Growth fund are apportioned to the incorporated cities adjoining casino, Indian tribes, law enforcement, and gambling treatment services. Other provisions. ",http://oregonvotes.org/irr/2012/038text.pdf,Yes,Authorizes a single privately-owned casino in Wood Village; requires casino to give percentage of monthly revenue to State Lottery for specified purposes.,No,"Maintains current state of the law, which does not authorize any privately-owned casino within state; tribal casinos authorized pursuant to gaming compacts. ",""
BI00027,OR,Measure 84,"Phases out existing inheritance taxes on large estates, and all taxes on intra-family property transfers ","Current state law imposes one-time tax on estate of person dying on/ after January 1, 2012, if estatees gross value _ determined by federal law as of December 31, 2010 _ is at least $1,000,000. Current law taxes income-producing property sales, regardless of partiese relationship. Measure incrementally phases out estate/ inheritance tax, tax on property transfers between ?family members"" (defined), and tax on property transferred in connection with persones death; prohibits imposition of such taxes on property  of person dying on/ after January 1, 2016. Allows state to cooperate with other states and federal government in administering those entitiese estate/ inheritance taxes; permits feeds on probate and other transactions that may occur following persones death. Measure reduces state revenues; provides no replacement. Other provisions.",http://oregonvotes.org/irr/2012/015text.pdf,Yes,"Phases out existing inheritance/estate taxes on large estates, death-related property transfers, and taxes on certain intra-family property; reduces state revenue. ",No,Retains existing estate/inheritance taxes on estates with value of at least $1 million; tax on all income producing intra-family property transfers.,""
BI00028,OR,Measure 85,"Amends Constitution:  Allocates Corporate Income/Excise Tax ""Kicker"" Refund To Additionally Fund K Through 12 Public Education","Amends constitution. Before each biennium, the governor must prepare an estimate of revenues expected to be received by the General Fund for the next biennium. The General Fund is the primary funding source for schools, prisons, social services and other state-funded programs/services. Current law requires an automatic ""kicker"" refund to taxpayers of corporate income and excise tax revenue that exceeds estimated collections by two percent or more.  Measure allocates the corporate income and excise tax ""kicker"" refund to the General Fund to provide additional funding for K through 12 public education. Measure does not change the constitutional personal income tax ""kicker"" provision that requires a refund to individual taxpayers when personal income tax revenue exceeds estimated revenue by two percent or more. Other provisions.",http://oregonvotes.org/irr/2012/035text.pdf,Yes,"Allocates the corporate income and excise tax ?kicker"" refund to the General Fund to provide additional funding for K through 12 public education.",No,"Retains existing corporate income and excise tax ?kicker"" that requires refund to corporations when revenue exceeds estimated collections by two percent or more.",""
BI00029,MT,Legislative Referendum No. 120,"Prohibits a physician from performing an abortion on a minor under 16 years of age unless a physician notifies a parent or legal guardian of the minor at least 48 hours prior to the procedure. Notice is not required if: (1) there is a medical emergency; (2) it is waived by a youth court in a sealed proceeding; or (3) it is waived by the parent or guardian. A person who performs an abortion in violation of the act, or who coerces a minor to have an abortion, is subject to criminal prosecution and civil liability.","LR-120 prohibits a physician from performing an abortion on a minor under 16 years of age unless a physician notifies a parent or legal guardian of the minor at least 48 hours prior to the procedure. Notice is not required if: (1) there is a medical emergency; (2) it is waived by a youth court in a sealed proceeding; or (3) it is waived by the parent or guardian. A person who performs an abortion in violation of the act, or who coerces a minor to have an abortion, is subject to criminal prosecution and civil liability.",http://sos.mt.gov/Elections/2012/BallotIssues/LR-120.pdf,For,"Requires parental notification prior to abortion for a minor, providing for judicial waiver of notification, repealing prior statutes, and providing penalties.",Against,"Rejects requirement parental notification prior to abortion for a minor, providing for judicial waiver of notification, repealing prior statutes, and providing penalties.",""
BI00030,MT,Legislative Referendum No. 121,"Prohibits providing state services to people who are not U.S. citizens and who have unlawfully entered or unlawfully remained in the United States. Under LR-121, every individual seeking a state service, such as applying for any state licenses, state employment, unemployment or disability benefits, or aid for university students, must provide evidence of U.S. citizenship or lawful alien status, and/or have their status verified through federal databases.  State agencies must notify the U.S. Department of Homeland Security of noncitizens who have unlawfully entered or remained in the U.S. and who have applied for state services.The costs associated with verifying U.S. citizenship or lawful alien status will vary by agency and cannot be precisely determined. However, on-going costs may include: hiring and training state personnel to use various federal databases; software, hardware and search charges; and information assessment and management costs.","LR-121 prohibits providing state services to people who are not U.S. citizens and who have unlawfully entered or unlawfully remained in the United States. Under LR-121, every individual seeking a state service, such as applying for any state licenses, state employment, unemployment or disability benefits, or aid for university students, must provide evidence of U.S. citizenship or lawful alien status, and/or have their status verified through federal databases.  State agencies must notify the U.S. Department of Homeland Security of noncitizens who have unlawfully entered or remained in the U.S. and who have applied for state services.The costs associated with verifying U.S. citizenship or lawful alien status will vary by agency and cannot be precisely determined. However, on-going costs may include: hiring and training state personnel to use various federal databases; software, hardware and search charges; and information assessment and management costs.",http://sos.mt.gov/Elections/2012/BallotIssues/LR-121.pdf,For,Denies certain state services to illegal aliens.,Against,Rejects denial of certain state services to illegal aliens.,""
BI00031,MT,Legislative Referendum No. 122,"Prohibits the state and federal governments from requiring the purchase of health insurance or imposing any penalty, tax, fee or fine on those who do not purchase health insurance. The prohibition does not apply to: (1) a court which orders the purchase of insurance when an individual or entity is a named party in a judicial dispute; (2) the state department of public health and human services as part of a child support enforcement action; or (3) the Montana university system as a requirement for students.","LR-122 prohibits the state and federal governments from requiring the purchase of health insurance or imposing any penalty, tax, fee or fine on those who do not purchase health insurance. The prohibition does not apply to: (1) a court which orders the purchase of insurance when an individual or entity is a named party in a judicial dispute; (2) the state department of public health and human services as part of a child support enforcement action; or (3) the Montana university system as a requirement for students.",http://sos.mt.gov/Elections/2012/BallotIssues/LR-122.pdf,For,Prohibits the state or federal government from mandating the purchase of health insurance or imposing penalties for decisions related to purchasing health insurance.,Against,Rejects prohibition of the state or federal government from mandating the purchase of health insurance or imposing penalties for decisions related to purchasing health insurance.,""
BI00032,MT,Initiative Referendum No. 124,"In 2004, Montana voters approved I-148, creating a medical marijuana program for patients with debilitating medical conditions. Senate Bill 423, passed by the 2011 Legislature, repeals I-148 and enacts a new medical marijuana program, which includes: permitting patients to grow marijuana or designate a provider; limiting each marijuana provider to three patients; prohibiting marijuana providers from accepting anything of value in exchange for services or products; granting local governments authority to regulate marijuana providers; establishing specific standards for demonstrating chronic pain; and reviewing the practices of doctors who certify marijuana use for 25 or more patients in a 12-month period.If Senate Bill 423 is affirmed by the voters, there will be no fiscal impact because the legislature has funded the costs of its implementation. If Senate Bill 423 is rejected by the voters, there may be a small savings to the State.","In 2004, Montana voters approved I-148, creating a medical marijuana program for patients with debilitating medical conditions. Senate Bill 423, passed by the 2011 Legislature, repeals I-148 and enacts a new medical marijuana program, which includes: permitting patients to grow marijuana or designate a provider; limiting each marijuana provider to three patients; prohibiting marijuana providers from accepting anything of value in exchange for services or products; granting local governments authority to regulate marijuana providers; establishing specific standards for demonstrating chronic pain; and reviewing the practices of doctors who certify marijuana use for 25 or more patients in a 12-month period.If Senate Bill 423 is affirmed by the voters, there will be no fiscal impact because the legislature has funded the costs of its implementation. If Senate Bill 423 is rejected by the voters, there may be a small savings to the State.",http://sos.mt.gov/Elections/Archives/2010s/2012/Initiatives/IR-124.asp,For,"Approves Senate Bill 423, a bill which repeals I-148 and enacts a new medical marijuana program.",Against,"Rejects Senate Bill 423, and retains I-148.",""
BI00033,MT,Initiative No. 166,"Ballot initiative I-166 establishes a state policy that corporations are not entitled to constitutional rights because they are not human beings, and charges Montana elected and appointed officials, state and federal, to implement that policy.  With this policy, the people of Montana establish that there should be a level playing field in campaign spending, in part by prohibiting corporate campaign contributions and expenditures and by limiting political spending in elections.  Further, Montanaes congressional delegation is charged with proposing a joint resolution offering an amendment to the United States Constitution establishing that corporations are not human beings entitled to constitutional rights.","Ballot initiative I-166 establishes a state policy that corporations are not entitled to constitutional rights because they are not human beings, and charges Montana elected and appointed officials, state and federal, to implement that policy.  With this policy, the people of Montana establish that there should be a level playing field in campaign spending, in part by prohibiting corporate campaign contributions and expenditures and by limiting political spending in elections.  Further, Montanaes congressional delegation is charged with proposing a joint resolution offering an amendment to the United States Constitution establishing that corporations are not human beings entitled to constitutional rights.",http://sos.mt.gov/Elections/2012/BallotIssues/I-166.pdf,For,"Charges Montana elected and appointed officials, state and federal, with implementing a policy that corporations are not human beings with constitutional rights.",Against,"Rejects proposal to charge Montana elected and appointed officials, state and federal, with implementing a policy that corporations are not human beings with constitutional rights.",""
